1m_0deg,1m_22deg,1m_45deg,1m_67deg,1m_90deg,2m_90deg,2m_67deg,2m_45deg,2m_22deg,2m_0deg
0.829,0.688,0.724,0.826,0.774,3.664,3.667,3.667,3.669,1.968
0.712,0.889,0.858,0.746,0.809,3.664,3.667,3.667,3.669,1.967
0.824,0.688,0.724,0.834,0.774,3.663,3.667,3.667,3.669,1.967
0.717,0.893,0.854,0.743,0.809,3.668,3.667,3.667,3.668,1.968
0.821,0.688,0.729,0.834,0.774,3.668,3.67,3.667,3.669,1.967
0.72,0.888,0.854,0.739,0.813,3.667,3.666,3.667,3.668,1.968
0.82,0.688,0.729,0.834,0.77,3.668,3.666,3.668,3.664,1.967
0.716,0.893,0.854,0.739,0.813,3.663,3.666,3.667,3.668,1.968
0.824,0.688,0.729,0.838,0.77,3.668,3.666,3.671,3.664,1.967
0.717,0.888,0.854,0.734,0.814,3.668,3.666,3.667,3.668,1.967
0.82,0.692,0.729,0.838,0.769,3.668,3.67,3.668,3.668,1.967
0.721,0.888,0.854,0.738,0.814,3.668,3.666,3.668,3.664,1.967
0.82,0.688,0.729,0.839,0.769,3.664,3.666,3.668,3.668,1.968
0.721,0.888,0.854,0.737,0.81,3.664,3.666,3.667,3.669,1.968
0.82,0.688,0.725,0.839,0.774,3.668,3.666,3.668,3.668,1.967
0.721,0.889,0.858,0.733,0.81,3.668,3.666,3.667,3.664,1.967
0.82,0.688,0.72,0.839,0.769,3.668,3.666,3.667,3.669,1.967
0.722,0.888,0.863,0.733,0.814,3.668,3.666,3.667,3.669,1.967
0.814,0.688,0.72,0.844,0.772,3.668,3.667,3.667,3.669,1.967
0.722,0.893,0.863,0.729,0.81,3.663,3.666,3.667,3.672,1.967
0.815,0.687,0.72,0.844,0.777,3.668,3.662,3.671,3.668,1.967
0.725,0.889,0.863,0.729,0.805,3.668,3.662,3.667,3.668,1.967
0.811,0.687,0.72,0.844,0.781,3.668,3.666,3.671,3.668,1.968
0.726,0.889,0.862,0.728,0.801,3.667,3.666,3.667,3.668,1.968
0.811,0.691,0.72,0.844,0.778,3.668,3.662,3.667,3.669,1.967
0.725,0.889,0.863,0.733,0.809,3.668,3.662,3.667,3.668,1.967
0.812,0.691,0.72,0.839,0.774,3.667,3.666,3.667,3.668,1.968
0.729,0.885,0.863,0.738,0.804,3.672,3.662,3.667,3.668,1.968
0.808,0.691,0.72,0.839,0.778,3.668,3.666,3.667,3.668,1.967
0.729,0.889,0.862,0.738,0.804,3.668,3.666,3.667,3.668,1.967
0.808,0.691,0.72,0.835,0.782,3.668,3.662,3.667,3.668,1.967
0.724,0.885,0.863,0.746,0.796,3.672,3.662,3.667,3.668,1.967
0.812,0.696,0.72,0.827,0.782,3.668,3.666,3.671,3.668,1.967
0.724,0.881,0.863,0.75,0.796,3.668,3.662,3.671,3.664,1.967
0.812,0.7,0.72,0.822,0.787,3.668,3.662,3.67,3.668,1.968
0.725,0.88,0.858,0.755,0.796,3.667,3.662,3.671,3.668,1.968
0.812,0.7,0.725,0.821,0.786,3.668,3.661,3.667,3.668,1.967
0.725,0.88,0.862,0.751,0.792,3.667,3.662,3.671,3.664,1.968
0.812,0.7,0.721,0.821,0.787,3.667,3.662,3.671,3.664,1.967
0.724,0.88,0.862,0.751,0.795,3.672,3.662,3.667,3.664,1.967
0.808,0.701,0.721,0.821,0.783,3.668,3.666,3.671,3.668,1.967
0.724,0.876,0.862,0.755,0.804,3.672,3.662,3.671,3.664,1.967
0.812,0.701,0.721,0.817,0.779,3.672,3.666,3.671,3.664,1.967
0.721,0.876,0.862,0.755,0.8,3.668,3.666,3.671,3.664,1.967
0.815,0.7,0.721,0.821,0.779,3.668,3.662,3.671,3.664,1.967
0.717,0.881,0.862,0.755,0.808,3.668,3.666,3.671,3.668,1.968
0.815,0.696,0.721,0.817,0.775,3.668,3.662,3.672,3.664,1.967
0.721,0.881,0.857,0.756,0.808,3.668,3.662,3.671,3.668,1.967
0.812,0.696,0.725,0.817,0.775,3.668,3.667,3.671,3.668,1.967
0.721,0.881,0.862,0.756,0.804,3.668,3.666,3.671,3.669,1.967
0.815,0.7,0.721,0.821,0.775,3.668,3.666,3.675,3.668,1.967
0.721,0.88,0.861,0.759,0.808,3.668,3.662,3.67,3.668,1.967
0.815,0.7,0.721,0.818,0.775,3.668,3.666,3.67,3.668,1.967
0.721,0.88,0.862,0.755,0.804,3.668,3.662,3.671,3.668,1.967
0.815,0.696,0.721,0.818,0.779,3.672,3.662,3.671,3.668,1.967
0.721,0.885,0.862,0.755,0.804,3.668,3.662,3.675,3.668,1.967
0.812,0.692,0.72,0.822,0.779,3.668,3.666,3.671,3.668,1.968
0.724,0.889,0.863,0.755,0.804,3.668,3.662,3.671,3.672,1.967
0.812,0.688,0.72,0.817,0.775,3.668,3.666,3.67,3.668,1.968
0.725,0.893,0.863,0.759,0.807,3.668,3.663,3.675,3.673,1.967
0.808,0.684,0.716,0.817,0.771,3.668,3.663,3.675,3.673,1.967
0.729,0.898,0.867,0.76,0.811,3.668,3.662,3.671,3.668,1.967
0.807,0.683,0.715,0.816,0.768,3.672,3.662,3.671,3.669,1.967
0.729,0.897,0.867,0.76,0.815,3.671,3.662,3.671,3.673,1.967
0.804,0.683,0.716,0.813,0.763,3.668,3.662,3.675,3.668,1.967
0.733,0.893,0.867,0.764,0.815,3.667,3.662,3.671,3.672,1.967
0.8,0.683,0.716,0.813,0.767,3.672,3.662,3.671,3.672,1.967
0.737,0.893,0.867,0.763,0.812,3.668,3.662,3.671,3.672,1.967
0.799,0.683,0.711,0.813,0.767,3.668,3.662,3.671,3.668,1.968
0.737,0.893,0.871,0.764,0.812,3.667,3.662,3.671,3.668,1.967
0.799,0.684,0.711,0.813,0.767,3.667,3.662,3.671,3.672,1.968
0.737,0.893,0.871,0.764,0.812,3.671,3.662,3.675,3.668,1.968
0.8,0.684,0.711,0.809,0.767,3.671,3.667,3.671,3.668,1.967
0.737,0.893,0.871,0.764,0.811,3.672,3.663,3.671,3.673,1.967
0.799,0.684,0.711,0.813,0.768,3.668,3.662,3.675,3.668,1.967
0.737,0.897,0.871,0.764,0.81,3.668,3.662,3.671,3.668,1.967
0.798,0.683,0.711,0.813,0.768,3.668,3.662,3.671,3.672,1.967
0.738,0.897,0.871,0.764,0.815,3.668,3.662,3.675,3.668,1.967
0.798,0.683,0.708,0.813,0.765,3.668,3.666,3.675,3.668,1.967
0.738,0.894,0.875,0.76,0.818,3.672,3.662,3.675,3.669,1.968
0.799,0.687,0.708,0.813,0.761,3.668,3.662,3.675,3.668,1.967
0.737,0.894,0.875,0.764,0.818,3.672,3.663,3.671,3.669,1.968
0.804,0.684,0.707,0.808,0.761,3.668,3.662,3.675,3.672,1.967
0.733,0.893,0.875,0.763,0.821,3.667,3.666,3.671,3.669,1.967
0.803,0.684,0.708,0.808,0.757,3.663,3.662,3.671,3.668,1.967
0.733,0.897,0.875,0.768,0.821,3.668,3.662,3.671,3.668,1.968
0.807,0.68,0.707,0.808,0.757,3.664,3.662,3.671,3.668,1.967
0.729,0.901,0.875,0.768,0.821,3.668,3.666,3.671,3.668,1.967
0.807,0.676,0.707,0.808,0.757,3.668,3.662,3.671,3.668,1.967
0.729,0.901,0.871,0.768,0.821,3.664,3.662,3.675,3.668,1.967
0.807,0.676,0.707,0.808,0.762,3.668,3.662,3.671,3.672,1.967
0.733,0.901,0.871,0.768,0.821,3.664,3.662,3.671,3.668,1.968
0.807,0.676,0.707,0.807,0.758,3.668,3.662,3.671,3.668,1.968
0.733,0.901,0.876,0.769,0.824,3.664,3.663,3.675,3.668,1.967
0.803,0.676,0.702,0.808,0.754,3.667,3.667,3.671,3.668,1.968
0.733,0.901,0.88,0.769,0.829,3.667,3.666,3.671,3.673,1.967
0.803,0.676,0.702,0.808,0.75,3.668,3.666,3.671,3.672,1.967
0.733,0.901,0.88,0.769,0.829,3.668,3.662,3.672,3.668,1.967
0.804,0.68,0.702,0.808,0.75,3.664,3.662,3.671,3.668,1.967
0.733,0.901,0.876,0.769,0.828,3.668,3.666,3.671,3.669,1.967
0.807,0.676,0.702,0.807,0.75,3.668,3.662,3.671,3.669,1.967
0.729,0.906,0.876,0.769,0.828,3.668,3.666,3.671,3.668,1.967
0.812,0.676,0.706,0.803,0.751,3.668,3.663,3.671,3.668,1.967
0.725,0.905,0.876,0.769,0.823,3.672,3.662,3.671,3.668,1.967
0.812,0.672,0.702,0.807,0.756,3.664,3.667,3.671,3.668,1.968
0.729,0.913,0.876,0.769,0.827,3.668,3.667,3.671,3.668,1.968
0.807,0.667,0.702,0.807,0.751,3.668,3.662,3.667,3.668,1.967
0.733,0.913,0.876,0.769,0.828,3.668,3.666,3.671,3.668,1.967
0.807,0.668,0.707,0.807,0.751,3.668,3.666,3.671,3.668,1.968
0.733,0.913,0.876,0.769,0.828,3.668,3.666,3.671,3.668,1.967
0.807,0.667,0.702,0.807,0.751,3.668,3.666,3.671,3.668,1.967
0.729,0.913,0.876,0.769,0.828,3.668,3.662,3.671,3.668,1.968
0.812,0.667,0.703,0.808,0.751,3.668,3.666,3.671,3.669,1.967
0.729,0.91,0.876,0.769,0.828,3.668,3.662,3.671,3.668,1.967
0.807,0.672,0.707,0.807,0.751,3.667,3.662,3.671,3.668,1.968
0.733,0.91,0.876,0.769,0.828,3.668,3.667,3.675,3.669,1.967
0.808,0.667,0.702,0.803,0.751,3.668,3.667,3.676,3.668,1.968
0.733,0.91,0.88,0.774,0.828,3.668,3.667,3.671,3.668,1.968
0.803,0.667,0.702,0.803,0.751,3.668,3.663,3.672,3.668,1.967
0.733,0.913,0.88,0.774,0.831,3.668,3.662,3.671,3.668,1.967
0.807,0.667,0.702,0.803,0.743,3.668,3.667,3.667,3.668,1.967
0.733,0.913,0.88,0.774,0.836,3.668,3.662,3.667,3.668,1.967
