0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
0.3,0.371,0.367,0.366,0.365,0.367,0.37,0.331,0.403,0.687,0.69,0.687,0.684,0.683,0.683,0.686,0.692,0.698,1.336,1.204,1.152,1.159,1.315,1.315,1.316,1.325,1.189,4.43,4.587,2.581,2.577,2.571,2.545,2.588,3.021,3.136
0.301,0.371,0.368,0.362,0.364,0.367,0.371,0.361,0.345,0.688,0.564,0.65,0.679,0.682,0.682,0.688,0.656,0.595,1.336,1.332,1.32,1.044,1.315,1.201,1.317,1.298,1.331,3.054,4.429,2.582,2.164,2.578,2.578,2.588,3.02,3.019
0.386,0.371,0.368,0.366,0.366,0.285,0.37,0.359,0.402,0.687,0.691,0.686,0.683,0.531,0.683,0.581,0.692,0.698,1.336,1.332,1.32,1.316,1.315,1.039,1.122,1.164,1.214,3.054,4.914,2.581,2.055,2.578,2.028,2.527,3.171,3.307
0.386,0.37,0.368,0.284,0.366,0.367,0.371,0.361,0.4,0.688,0.583,0.685,0.684,0.65,0.682,0.688,0.691,0.697,1.336,1.332,1.319,1.316,1.315,1.315,1.279,1.315,1.331,2.768,4.787,2.581,2.519,2.217,2.204,2.483,3.056,2.954
0.388,0.371,0.286,0.366,0.284,0.367,0.336,0.358,0.402,0.687,0.691,0.685,0.683,0.683,0.683,0.687,0.692,0.699,1.259,1.151,1.319,1.315,1.315,1.315,1.318,1.184,1.24,4.429,4.954,2.296,2.577,2.293,2.091,2.587,3.225,3.309
0.388,0.37,0.368,0.366,0.366,0.366,0.371,0.361,0.391,0.688,0.689,0.687,0.683,0.682,0.682,0.535,0.691,0.697,1.336,1.332,1.319,1.079,1.315,1.315,1.318,1.324,1.114,4.499,4.427,2.311,2.577,2.552,2.577,2.302,3.11,2.737
0.388,0.371,0.368,0.366,0.366,0.367,0.363,0.359,0.402,0.687,0.691,0.685,0.681,0.681,0.683,0.686,0.692,0.698,1.084,1.332,1.164,1.315,1.229,1.316,1.169,1.323,1.332,4.943,4.994,2.58,2.193,2.293,2.434,2.312,3.304,3.307
0.387,0.337,0.367,0.365,0.366,0.365,0.371,0.359,0.402,0.688,0.689,0.687,0.683,0.683,0.629,0.688,0.689,0.697,1.335,1.332,1.034,1.315,1.091,1.315,1.306,1.325,1.331,4.532,4.586,2.344,2.578,2.03,2.315,2.584,3.305,3.118
0.386,0.371,0.368,0.364,0.364,0.367,0.371,0.359,0.402,0.687,0.691,0.602,0.627,0.681,0.683,0.687,0.692,0.543,1.334,1.332,1.319,1.315,1.314,1.11,1.317,1.325,1.301,4.695,4.715,2.579,2.578,2.578,2.578,2.3,3.306,3.021
0.387,0.37,0.367,0.365,0.366,0.285,0.372,0.361,0.401,0.688,0.689,0.687,0.683,0.684,0.682,0.688,0.689,0.583,1.335,1.299,1.319,1.315,1.314,1.315,1.317,1.325,1.331,4.425,4.429,2.579,2.293,2.085,2.579,2.585,2.734,3.077
0.321,0.371,0.368,0.344,0.364,0.367,0.372,0.361,0.4,0.687,0.691,0.623,0.683,0.619,0.683,0.637,0.691,0.698,1.335,1.331,1.32,1.315,1.259,1.141,1.129,1.325,1.325,4.739,4.504,2.579,2.579,2.577,2.531,2.301,3.305,2.735
0.388,0.37,0.344,0.364,0.366,0.367,0.371,0.361,0.4,0.688,0.646,0.687,0.683,0.683,0.682,0.688,0.606,0.697,1.265,1.331,1.32,1.315,1.207,1.031,1.279,1.325,1.199,4.742,4.954,2.579,2.578,2.578,2.457,2.587,3.019,2.849
0.386,0.371,0.286,0.364,0.364,0.367,0.372,0.361,0.4,0.687,0.537,0.685,0.681,0.682,0.683,0.687,0.537,0.698,1.336,1.33,1.32,1.315,1.314,1.187,1.143,1.314,1.332,4.425,4.43,2.578,2.579,2.577,2.578,2.302,2.902,3.306
0.388,0.371,0.368,0.366,0.366,0.367,0.314,0.359,0.4,0.688,0.689,0.685,0.682,0.683,0.682,0.688,0.616,0.697,1.337,1.043,1.139,1.125,1.314,1.067,1.317,1.324,1.331,4.424,4.43,2.433,2.363,2.397,2.179,2.589,3.075,3.176
0.386,0.371,0.368,0.364,0.364,0.365,0.371,0.361,0.399,0.686,0.691,0.687,0.683,0.683,0.682,0.66,0.537,0.698,1.191,1.331,1.32,1.315,1.026,1.109,1.317,1.325,1.331,4.79,4.593,2.579,2.578,2.347,2.349,2.589,2.962,3.306
0.388,0.371,0.368,0.366,0.366,0.367,0.371,0.316,0.4,0.688,0.689,0.685,0.681,0.681,0.683,0.688,0.626,0.697,1.06,1.33,1.32,1.315,1.314,1.315,1.313,1.136,1.331,4.423,2.567,2.578,2.578,2.577,2.237,2.589,3.304,2.941
0.362,0.371,0.368,0.366,0.366,0.365,0.371,0.361,0.338,0.687,0.691,0.686,0.683,0.683,0.682,0.687,0.691,0.543,1.15,1.331,1.319,1.12,1.055,1.315,1.316,1.326,1.331,4.533,2.579,2.36,2.421,2.11,2.456,2.589,3.305,3.111
0.388,0.37,0.286,0.366,0.366,0.367,0.371,0.359,0.402,0.688,0.674,0.619,0.681,0.583,0.683,0.686,0.689,0.628,1.336,1.33,1.319,1.06,1.129,1.315,1.316,1.325,1.331,4.423,2.579,2.237,2.566,2.279,2.578,2.379,3.141,2.991
