2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg
2.136,2.516,2.517,2.225,2.172,2.513,2.091,1.959,2.995,1.279,1.263,1.258,1.255,1.256,1.252,1.129,1.27,1.194,2.095,0.609,0.605,0.602,0.6,0.601,0.499,0.605,2.178,2.175,0.289,0.295,0.293,0.294,0.296,0.293,2.482,2.486
2.482,2.516,2.264,2.303,2.03,2.228,2.522,2.386,3.136,1.28,1.263,1.132,1.255,1.004,1.105,1.263,1.258,1.199,2.192,0.609,0.606,0.604,0.601,0.603,0.605,0.606,2.027,1.889,0.292,0.295,0.294,0.294,0.294,0.293,2.089,2.487
2.482,2.031,2.233,2.44,2.511,2.514,2.235,2.509,2.994,1.28,1.263,1.232,0.981,1.256,0.984,1.263,1.269,1.211,2.393,0.607,0.605,0.476,0.6,0.47,0.569,0.605,1.892,1.941,0.292,0.295,0.278,0.295,0.295,0.292,2.197,2.464
2.236,2.516,2.259,2.454,2.306,2.132,2.251,2.509,3.138,1.281,1.041,1.258,1.255,1.256,1.258,1.263,1.27,1.079,2.477,0.609,0.606,0.604,0.601,0.602,0.606,0.607,2.176,2.18,0.227,0.295,0.294,0.294,0.288,0.293,2.481,2.486
2.332,2.231,2.232,2.031,2.303,2.513,2.521,2.509,3.294,1.28,1.264,1.258,1.255,1.139,1.259,1.263,1.27,1.271,2.479,0.525,0.604,0.602,0.6,0.603,0.511,0.477,2.177,1.924,0.227,0.295,0.293,0.295,0.296,0.292,2.48,2.241
2.483,2.208,2.245,2.512,2.225,2.432,2.26,2.509,3.141,1.279,1.263,1.258,1.14,1.256,1.111,1.263,1.026,1.271,1.98,0.609,0.605,0.469,0.601,0.601,0.606,0.607,2.147,2.059,0.292,0.293,0.295,0.295,0.296,0.293,2.196,2.318
2.353,2.516,2.518,2.225,2.224,2.513,2.521,1.98,2.998,1.279,1.263,1.258,1.008,1.256,1.258,1.263,1.27,1.27,2.479,0.607,0.605,0.574,0.6,0.603,0.605,0.607,2.177,2.178,0.291,0.295,0.293,0.294,0.23,0.292,2.22,2.457
2.202,2.231,2.233,2.458,2.51,2.512,1.985,2.511,3.294,1.279,1.264,1.258,1.255,0.992,1.258,1.031,1.05,1.269,2.479,0.609,0.489,0.604,0.468,0.601,0.607,0.605,2.152,1.89,0.289,0.273,0.294,0.294,0.296,0.293,2.34,2.024
2.482,2.433,2.518,2.512,2.224,2.512,2.424,2.513,3.001,1.279,1.264,1.258,1.255,1.256,1.26,1.263,1.268,1.001,2.192,0.583,0.471,0.602,0.594,0.602,0.605,0.606,1.862,1.906,0.29,0.229,0.293,0.294,0.296,0.292,2.483,2.161
2.196,2.422,2.286,2.511,2.224,2.513,2.52,2.228,3.149,1.278,1.264,1.259,1.255,1.256,1.118,1.263,1.269,1.27,2.192,0.609,0.604,0.604,0.601,0.492,0.605,0.605,2.16,2.177,0.29,0.293,0.293,0.295,0.296,0.293,2.483,2.485
2.395,2.232,2.518,2.512,2.509,2.429,2.438,2.281,3.293,1.279,1.197,1.137,1.051,1.256,1.259,1.183,1.221,1.271,2.236,0.608,0.606,0.602,0.601,0.602,0.604,0.472,1.896,1.978,0.227,0.295,0.293,0.294,0.295,0.278,2.484,2.485
2.133,2.389,2.518,2.513,2.509,2.512,2.307,2.332,3.293,1.033,1.263,1.258,1.255,1.257,1.114,1.263,1.268,1.27,2.375,0.607,0.605,0.604,0.583,0.601,0.605,0.605,1.705,2.176,0.29,0.293,0.293,0.291,0.23,0.293,2.354,2.418
2.451,2.37,2.313,2.438,2.153,2.053,2.233,2.516,3.134,1.278,1.219,1.258,1.255,1.256,1.26,1.054,1.268,1.271,2.224,0.609,0.471,0.602,0.601,0.602,0.604,0.607,1.894,1.888,0.292,0.294,0.293,0.229,0.296,0.288,2.484,2.486
2.481,2.351,2.163,2.227,2.296,2.513,2.234,2.516,2.724,1.279,1.264,1.257,1.255,1.256,1.258,1.263,1.268,1.271,2.335,0.607,0.605,0.604,0.56,0.601,0.47,0.605,2.179,2.173,0.292,0.295,0.292,0.293,0.296,0.293,2.334,2.486
2.191,2.053,2.519,2.512,2.51,2.351,2.519,2.277,3.295,1.279,1.264,1.045,1.255,1.256,1.26,1.264,1.268,1.271,2.481,0.608,0.606,0.533,0.601,0.603,0.604,0.606,1.894,2.174,0.292,0.296,0.293,0.294,0.294,0.293,2.228,2.201
2.035,2.324,2.34,2.168,2.509,2.512,2.233,2.422,2.723,1.022,1.265,1.257,1.255,0.979,1.259,1.263,1.268,1.212,2.193,0.607,0.604,0.604,0.6,0.601,0.605,0.605,2.181,2.172,0.292,0.296,0.292,0.284,0.296,0.293,2.324,2.485
2.481,2.299,2.518,2.51,2.51,2.514,2.519,2.478,3.297,1.279,1.264,1.256,1.116,1.108,1.255,1.211,1.268,1.271,2.219,0.608,0.606,0.602,0.601,0.602,0.604,0.606,2.113,1.84,0.292,0.296,0.293,0.229,0.294,0.294,2.198,2.485
2.482,1.994,2.518,2.51,2.51,2.243,2.233,2.423,2.856,1.279,1.265,1.257,0.982,1.256,1.11,1.263,1.268,1.271,2.375,0.607,0.605,0.604,0.6,0.602,0.605,0.57,2.183,1.889,0.292,0.296,0.292,0.293,0.23,0.294,2.484,1.97
2.481,2.501,2.232,2.512,2.51,2.513,2.503,2.277,2.728,1.281,1.266,1.248,1.255,1.1,1.25,1.263,1.268,1.272,2.241,0.608,0.606,0.602,0.6,0.604,0.509,0.606,2.182,1.832,0.292,0.23,0.293,0.294,0.294,0.294,2.175,2.486
2.483,2.517,2.517,2.299,2.266,2.514,2.079,2.514,3.3,1.28,1.265,1.117,1.255,1.256,1.259,1.263,1.185,1.273,2.193,0.608,0.602,0.603,0.599,0.584,0.605,0.605,2.184,2.175,0.292,0.296,0.293,0.293,0.296,0.294,2.482,2.243
2.397,2.517,2.265,2.442,2.404,2.111,2.509,2.514,3.163,1.28,0.988,1.258,1.144,1.087,1.258,1.263,1.268,1.271,2.194,0.607,0.606,0.602,0.6,0.604,0.604,0.472,2.088,2.172,0.29,0.294,0.293,0.294,0.294,0.295,2.466,2.2
2.481,2.516,2.406,2.299,2.51,2.227,2.519,2.344,3.299,1.28,1.126,1.257,1.256,1.256,1.258,1.263,1.204,1.265,2.422,0.608,0.471,0.604,0.599,0.602,0.605,0.572,1.925,2.173,0.292,0.296,0.293,0.293,0.296,0.294,2.482,1.946
2.359,2.292,2.517,2.511,2.391,2.512,2.23,1.979,3.298,1.148,1.265,1.258,1.255,1.084,1.258,1.264,1.268,1.27,2.479,0.607,0.605,0.602,0.6,0.604,0.505,0.607,2.049,2.173,0.29,0.294,0.292,0.295,0.294,0.294,2.197,2.371
2.482,2.517,2.232,2.512,2.509,2.512,2.091,2.349,3.298,1.009,1.264,1.258,1.256,1.225,1.258,1.144,1.268,1.269,2.158,0.609,0.606,0.604,0.601,0.602,0.605,0.605,2.182,2.176,0.292,0.296,0.293,0.294,0.295,0.293,2.308,2.222
2.285,2.518,2.518,2.225,2.51,2.512,2.521,2.515,3.296,1.28,1.256,1.257,1.175,1.081,1.251,1.263,1.268,1.155,2.304,0.546,0.605,0.604,0.6,0.604,0.504,0.607,2.18,1.796,0.29,0.293,0.255,0.295,0.26,0.294,2.447,2.486
2.284,2.518,2.232,2.51,2.236,2.513,2.381,2.515,2.832,1.281,1.264,1.258,1.256,1.224,1.258,1.114,1.268,1.024,2.161,0.608,0.606,0.604,0.601,0.602,0.47,0.547,2.18,1.937,0.292,0.295,0.293,0.294,0.296,0.293,2.301,2.488
2.26,2.141,2.517,2.435,2.088,2.227,2.521,1.975,3.259,1.28,1.264,1.096,1.256,1.256,1.258,1.263,1.108,1.271,2.016,0.607,0.54,0.47,0.6,0.604,0.604,0.606,2.179,2.075,0.29,0.294,0.235,0.295,0.263,0.294,2.48,2.2
2.389,2.411,2.518,2.51,2.235,2.447,2.519,2.512,2.834,1.006,1.263,1.257,1.256,1.225,1.259,1.263,1.268,1.271,2.194,0.609,0.606,0.602,0.602,0.604,0.605,0.605,2.18,1.936,0.292,0.294,0.293,0.295,0.296,0.293,2.287,2.485
1.944,2.413,2.516,2.51,2.51,2.513,2.519,2.225,3.271,1.28,1.253,1.128,1.185,1.256,0.98,1.265,1.134,1.272,2.021,0.596,0.604,0.604,0.6,0.604,0.604,0.607,1.956,2.18,0.29,0.295,0.293,0.293,0.254,0.294,2.481,2.375
2.482,2.517,2.388,2.51,2.51,2.322,2.519,2.223,3.294,1.279,1.263,0.995,1.057,1.256,1.129,1.263,1.27,1.271,2.482,0.473,0.606,0.602,0.601,0.604,0.605,0.532,2.176,2.182,0.292,0.295,0.293,0.294,0.296,0.293,1.999,2.485
2.478,2.412,1.959,2.511,2.224,2.513,2.234,2.508,2.724,1.279,1.259,1.258,1.019,1.256,1.258,1.263,1.269,1.271,2.195,0.473,0.482,0.604,0.6,0.602,0.604,0.607,2.179,1.784,0.292,0.295,0.293,0.293,0.242,0.293,2.48,2.386
2.482,2.116,2.392,2.51,2.494,2.042,2.417,2.509,2.723,1.279,1.263,1.258,1.255,1.256,1.258,1.263,1.268,1.271,2.45,0.489,0.606,0.602,0.601,0.598,0.605,0.521,1.89,2.182,0.292,0.293,0.293,0.295,0.296,0.293,1.992,2.485
2.482,2.386,2.508,2.511,2.509,2.513,2.235,2.507,2.74,1.279,1.263,1.072,1.255,1.082,1.258,1.264,1.269,1.271,2.481,0.609,0.606,0.604,0.6,0.602,0.604,0.607,2.16,2.18,0.292,0.294,0.293,0.293,0.286,0.293,2.282,2.487
2.483,2.374,2.231,2.51,2.489,2.513,2.427,2.224,2.885,1.279,1.132,1.258,1.115,1.256,1.15,1.105,1.001,1.271,2.48,0.607,0.604,0.602,0.467,0.601,0.605,0.605,2.002,2.18,0.292,0.293,0.293,0.295,0.295,0.293,2.48,2.435
2.481,2.517,2.495,2.51,2.338,2.512,2.52,1.989,3.295,1.151,1.265,1.178,1.255,1.064,1.228,1.263,1.144,1.271,2.043,0.609,0.606,0.604,0.6,0.603,0.501,0.607,1.888,2.058,0.227,0.295,0.228,0.294,0.294,0.292,2.4,2.202
2.479,2.057,2.518,2.225,2.51,2.512,2.233,2.13,3.295,1.279,1.263,1.035,1.255,1.256,1.258,1.264,1.252,1.272,2.189,0.607,0.605,0.492,0.601,0.602,0.605,0.605,1.977,1.954,0.227,0.295,0.292,0.294,0.296,0.293,2.48,2.488
2.272,2.231,2.487,2.226,2.51,2.512,2.332,2.509,3.009,1.165,1.239,1.177,1.255,1.256,1.012,1.264,1.104,1.272,2.354,0.473,0.606,0.604,0.6,0.603,0.604,0.607,2.108,1.893,0.292,0.294,0.293,0.295,0.284,0.292,2.314,2.256
2.394,2.039,2.518,2.17,2.45,2.512,2.519,2.51,3.009,1.028,1.264,1.257,1.169,1.256,1.259,1.264,1.267,1.12,2.481,0.548,0.605,0.602,0.601,0.601,0.605,0.607,2.175,2.18,0.29,0.295,0.292,0.294,0.296,0.293,2.483,2.487
2.481,2.517,2.517,2.51,2.51,2.512,2.087,2.273,3.011,1.279,1.264,1.257,1.256,1.039,1.259,1.264,1.267,1.272,2.195,0.609,0.606,0.604,0.564,0.602,0.604,0.601,2.173,1.771,0.227,0.294,0.293,0.294,0.294,0.292,2.481,2.474
2.482,2.231,2.168,2.225,2.51,2.375,1.963,2.509,3.295,1.28,1.196,1.257,1.256,1.256,1.258,1.165,1.267,1.272,2.48,0.607,0.545,0.58,0.602,0.498,0.605,0.607,1.942,1.922,0.29,0.295,0.293,0.294,0.295,0.293,2.197,2.2
2.483,2.232,2.231,2.51,2.483,2.511,2.522,2.51,3.296,1.193,1.265,1.193,1.255,1.256,1.26,1.263,1.267,1.273,2.48,0.609,0.606,0.604,0.6,0.602,0.604,0.605,1.888,2.18,0.292,0.296,0.294,0.295,0.294,0.293,2.484,2.488
2.357,2.231,2.494,2.51,2.51,2.107,2.504,2.433,2.726,1.279,1.264,1.181,1.214,1.256,1.121,1.264,1.044,1.121,1.954,0.607,0.555,0.494,0.601,0.574,0.605,0.472,2.176,2.18,0.29,0.296,0.294,0.292,0.296,0.293,2.483,2.486
2.483,2.517,2.517,2.511,2.509,2.255,2.235,2.51,3.077,1.192,1.083,1.257,1.256,1.027,1.259,1.263,1.267,1.271,2.103,0.609,0.606,0.604,0.6,0.604,0.605,0.605,2.065,2.178,0.227,0.295,0.294,0.295,0.235,0.293,2.483,2.19
2.482,2.281,2.244,2.159,2.225,2.397,2.52,2.511,3.218,1.279,1.265,1.258,1.256,1.256,1.259,1.18,1.08,1.14,2.438,0.607,0.559,0.505,0.601,0.601,0.604,0.607,2.177,1.942,0.29,0.296,0.294,0.293,0.296,0.293,2.194,2.486
2.429,2.518,2.4,2.511,2.512,2.512,2.521,2.294,3.012,1.201,1.264,1.208,1.256,1.256,1.259,1.263,1.239,1.271,2.48,0.609,0.606,0.604,0.6,0.603,0.605,0.535,2.102,2.08,0.292,0.293,0.294,0.294,0.296,0.293,2.043,2.486
2.438,1.996,2.492,2.444,2.377,2.512,2.521,2.442,2.726,1.211,1.247,1.258,1.255,1.256,1.13,1.189,1.111,1.271,2.48,0.609,0.563,0.602,0.601,0.601,0.573,0.607,2.179,2.18,0.248,0.294,0.294,0.293,0.295,0.293,2.464,2.486
2.096,2.233,2.339,2.303,2.51,2.511,2.198,2.298,2.806,1.28,1.109,1.22,1.12,1.256,1.258,1.263,1.265,1.248,2.43,0.607,0.607,0.604,0.6,0.603,0.47,0.605,1.891,1.801,0.292,0.23,0.293,0.294,0.296,0.293,2.319,2.486
2.482,2.266,2.518,2.51,2.072,2.399,2.52,2.509,3.235,1.28,1.263,1.258,1.245,1.164,1.258,1.263,1.131,1.271,2.297,0.609,0.605,0.602,0.601,0.601,0.604,0.472,1.888,2.182,0.242,0.295,0.293,0.293,0.23,0.293,2.48,2.269
2.48,2.518,2.157,2.511,2.51,2.511,2.52,2.509,3.097,1.28,1.128,1.258,1.141,1.016,1.259,1.055,1.268,1.271,2.478,0.484,0.606,0.604,0.6,0.602,0.605,0.571,2.173,2.18,0.292,0.295,0.293,0.294,0.296,0.293,2.013,2.403
2.482,1.961,2.022,2.44,2.51,2.512,2.236,2.445,3.008,1.279,1.265,1.257,1.01,1.256,1.13,1.263,1.159,1.103,2.479,0.608,0.605,0.602,0.601,0.601,0.567,0.607,1.881,2.182,0.274,0.295,0.293,0.293,0.23,0.293,2.478,2.486
2.384,2.519,2.518,2.012,2.224,2.494,2.236,2.224,3.295,1.28,1.263,0.999,1.255,1.256,1.259,1.062,1.268,1.252,2.479,0.607,0.606,0.604,0.6,0.602,0.605,0.605,2.023,2.181,0.292,0.294,0.293,0.294,0.296,0.293,2.479,2.094
2.482,2.233,2.317,2.511,2.509,2.513,2.236,2.224,3.006,1.28,1.265,1.093,1.027,1.256,1.258,1.036,1.269,1.271,2.06,0.609,0.605,0.602,0.601,0.53,0.569,0.606,2.163,2.18,0.233,0.293,0.293,0.293,0.296,0.293,2.48,2.486
2.419,2.201,2.517,2.51,2.51,2.513,2.521,2.024,2.839,1.28,1.264,1.237,1.255,1.256,0.98,1.069,1.268,1.271,2.476,0.607,0.606,0.604,0.598,0.603,0.605,0.483,2.173,2.178,0.292,0.294,0.293,0.294,0.296,0.293,2.192,2.485
2.197,2.517,2.516,2.51,2.51,2.512,2.521,2.166,3.269,1.28,1.263,1.133,1.256,1.143,1.259,1.216,1.19,1.271,2.48,0.609,0.605,0.602,0.601,0.521,0.604,0.606,2.174,2.178,0.29,0.266,0.228,0.293,0.296,0.293,2.481,2.488
2.148,2.448,2.518,2.51,2.224,1.965,2.521,2.512,3.295,1.262,1.264,0.983,1.256,1.256,0.98,1.173,1.268,1.269,1.961,0.522,0.607,0.604,0.601,0.603,0.605,0.605,1.719,2.081,0.292,0.294,0.292,0.294,0.296,0.293,2.196,2.064
2.288,2.516,2.232,2.224,2.51,2.399,2.236,2.512,2.993,1.279,1.232,1.257,1.041,1.136,1.259,1.218,1.268,1.126,2.405,0.609,0.605,0.602,0.6,0.601,0.592,0.606,1.859,2.178,0.28,0.293,0.293,0.238,0.294,0.293,2.436,2.486
2.482,2.517,2.248,2.435,2.511,2.261,2.441,2.056,2.854,1.279,1.168,0.982,1.188,1.256,1.258,1.264,1.082,1.272,2.273,0.527,0.606,0.604,0.601,0.603,0.605,0.607,1.997,2.178,0.292,0.295,0.292,0.294,0.297,0.228,2.29,2.485
1.995,2.406,2.518,2.51,2.509,2.513,2.479,2.229,3.001,1.279,1.264,1.131,1.256,1.126,1.123,1.264,1.268,1.271,2.481,0.609,0.587,0.546,0.566,0.601,0.604,0.601,2.177,1.93,0.292,0.295,0.295,0.235,0.295,0.293,2.484,2.486
2.413,2.518,2.517,2.51,2.509,2.495,2.236,2.514,3.151,0.997,1.265,1.257,1.255,1.256,1.253,1.263,1.268,1.271,2.481,0.607,0.606,0.604,0.601,0.602,0.605,0.607,2.174,2.178,0.292,0.295,0.293,0.294,0.297,0.293,2.281,2.485
2.482,2.518,2.428,2.511,2.509,2.227,2.235,2.24,3.013,1.278,1.061,1.093,1.255,1.256,1.259,1.216,1.267,1.15,2.482,0.609,0.473,0.602,0.6,0.601,0.472,0.605,1.841,1.923,0.292,0.294,0.294,0.294,0.295,0.291,2.427,2.209
2.145,2.231,2.518,2.225,2.509,2.228,2.522,2.1,3.16,1.279,1.264,1.257,1.226,1.256,1.259,1.069,1.267,1.273,2.48,0.607,0.606,0.604,0.602,0.604,0.607,0.472,2.175,1.893,0.292,0.296,0.293,0.294,0.297,0.293,2.483,2.484
2.288,2.054,2.231,2.51,2.51,2.513,2.236,2.515,3.298,1.28,1.264,1.257,1.256,1.126,1.259,1.264,1.246,1.154,2.482,0.609,0.606,0.602,0.513,0.602,0.606,0.605,2.175,1.911,0.292,0.295,0.295,0.294,0.254,0.275,2.272,2.486
2.43,2.516,2.321,2.044,2.509,2.513,2.522,2.516,2.888,1.28,1.264,1.229,1.256,1.256,1.258,1.264,1.267,1.012,2.482,0.607,0.605,0.604,0.602,0.604,0.607,0.606,2.174,2.047,0.227,0.296,0.295,0.294,0.297,0.293,2.481,2.358
2.482,2.474,2.481,2.475,2.509,2.341,2.523,2.516,3.299,1.281,1.112,1.257,1.115,1.256,1.088,1.263,1.267,1.271,2.474,0.609,0.606,0.602,0.6,0.603,0.605,0.576,2.101,1.902,0.292,0.296,0.294,0.294,0.295,0.292,2.481,2.207
2.482,2.258,2.516,2.511,2.511,2.513,2.345,2.228,2.898,1.28,1.263,1.258,0.98,1.256,1.258,1.263,1.267,1.273,2.094,0.607,0.488,0.604,0.601,0.604,0.606,0.607,2.171,2.177,0.292,0.296,0.294,0.295,0.297,0.293,2.48,2.485
1.953,2.239,2.517,2.225,2.511,2.13,2.287,2.236,3.045,1.28,1.123,1.1,1.106,1.105,1.093,1.264,1.047,1.102,2.483,0.609,0.606,0.604,0.601,0.604,0.605,0.605,2.101,2.18,0.227,0.296,0.294,0.294,0.295,0.292,2.193,2.213
2.382,2.516,2.375,2.511,2.511,2.513,2.522,2.514,2.726,1.28,1.267,1.249,1.256,1.256,1.258,1.263,1.267,1.273,2.392,0.607,0.501,0.604,0.6,0.603,0.606,0.607,1.903,2.178,0.292,0.294,0.295,0.295,0.297,0.293,2.285,2.199
2.198,2.485,2.516,2.292,2.51,2.423,2.309,2.509,3.298,1.132,1.265,1.257,1.256,1.256,1.097,1.264,1.267,1.162,2.255,0.609,0.606,0.594,0.601,0.604,0.605,0.605,2.099,1.895,0.292,0.296,0.295,0.295,0.295,0.292,2.477,2.205
2.371,2.517,2.231,2.308,2.51,2.228,2.52,2.363,3.295,1.28,1.263,0.991,0.989,1.24,1.246,1.263,1.269,1.271,2.482,0.609,0.518,0.604,0.6,0.602,0.607,0.472,1.956,2.179,0.292,0.246,0.295,0.293,0.297,0.293,1.997,2.485
2.485,2.517,2.517,2.444,2.224,2.513,2.335,2.229,3.011,1.28,1.263,1.257,1.134,1.256,1.258,1.264,1.268,1.273,2.481,0.607,0.606,0.482,0.468,0.604,0.605,0.605,2.176,2.178,0.292,0.295,0.293,0.294,0.294,0.292,2.261,2.487
2.04,2.517,2.518,2.512,2.128,2.0,2.523,2.515,3.295,1.28,1.263,1.003,1.256,1.256,1.259,1.264,1.245,1.241,2.48,0.609,0.532,0.604,0.56,0.602,0.472,0.607,2.177,2.126,0.292,0.295,0.294,0.293,0.295,0.293,2.291,2.198
2.195,2.517,2.314,2.511,2.51,2.151,2.523,2.516,3.011,1.279,1.06,1.257,1.135,1.256,1.258,1.235,1.109,1.27,2.481,0.607,0.606,0.487,0.601,0.604,0.558,0.605,2.177,1.892,0.292,0.295,0.239,0.294,0.296,0.292,2.478,2.486
2.197,2.515,2.518,2.224,2.344,2.453,2.506,2.23,2.922,1.002,1.264,1.257,1.256,1.256,1.258,1.1,1.269,1.021,2.443,0.474,0.605,0.604,0.6,0.558,0.605,0.472,2.179,1.892,0.292,0.294,0.293,0.26,0.296,0.293,2.015,2.2
2.394,2.516,2.518,2.113,2.51,2.166,2.088,2.517,3.063,1.28,1.071,1.141,1.256,1.256,1.133,1.263,1.269,1.169,2.482,0.608,0.606,0.586,0.467,0.603,0.604,0.51,2.077,1.894,0.292,0.294,0.293,0.295,0.23,0.293,2.478,2.487
2.483,2.232,2.518,2.511,2.51,2.439,2.522,2.09,3.296,1.28,1.222,1.257,1.256,1.256,1.258,1.263,1.266,1.269,2.481,0.609,0.519,0.604,0.6,0.536,0.605,0.607,2.177,1.753,0.292,0.294,0.293,0.254,0.296,0.293,2.311,2.339
2.073,2.064,2.361,2.377,2.511,2.18,2.113,2.519,3.098,1.28,1.093,1.258,1.256,1.256,1.258,1.263,1.268,1.268,2.479,0.496,0.607,0.602,0.601,0.603,0.604,0.605,1.89,1.899,0.292,0.294,0.293,0.294,0.23,0.293,2.456,2.485
2.215,2.062,2.518,2.51,2.51,2.329,2.236,2.378,3.296,1.001,1.003,1.257,1.256,1.256,1.258,1.263,0.987,1.269,2.203,0.609,0.548,0.604,0.6,0.601,0.605,0.472,1.913,1.762,0.292,0.295,0.293,0.293,0.295,0.293,2.191,2.485
2.341,2.518,2.517,2.354,2.219,2.513,2.521,2.522,3.298,1.142,1.265,1.108,1.255,1.256,1.259,0.994,1.137,1.269,2.195,0.607,0.607,0.604,0.601,0.603,0.552,0.605,1.89,1.909,0.292,0.293,0.293,0.294,0.295,0.293,2.476,2.485
2.197,2.516,2.517,2.204,2.509,2.338,2.522,2.235,2.896,1.0,1.264,1.258,1.255,1.256,1.259,1.263,1.269,1.268,2.221,0.609,0.605,0.604,0.6,0.601,0.605,0.606,2.174,2.173,0.292,0.294,0.293,0.293,0.296,0.293,2.048,2.38
2.483,2.517,2.331,2.408,2.2,2.486,2.521,2.522,2.752,1.28,1.131,1.258,1.256,1.256,1.259,1.264,1.268,1.195,2.373,0.607,0.606,0.604,0.601,0.603,0.604,0.485,2.012,2.173,0.292,0.24,0.293,0.295,0.295,0.293,2.209,2.485
2.482,2.516,2.461,2.51,2.51,2.513,2.236,2.234,2.893,1.001,1.265,1.258,1.256,1.256,1.24,1.263,1.269,1.19,1.953,0.609,0.605,0.604,0.6,0.481,0.605,0.607,1.889,2.061,0.292,0.295,0.293,0.295,0.296,0.293,2.075,2.2
2.482,2.517,2.519,2.325,2.271,2.494,2.236,2.519,3.039,1.142,1.147,1.107,1.256,1.062,1.14,1.263,1.269,1.03,2.479,0.544,0.606,0.604,0.601,0.603,0.543,0.605,2.177,2.17,0.292,0.295,0.293,0.294,0.23,0.293,2.224,2.185
2.076,2.232,2.321,2.511,2.326,2.348,2.323,2.374,2.901,1.004,1.235,1.251,1.04,1.256,1.258,1.175,1.25,1.268,2.442,0.608,0.605,0.469,0.601,0.603,0.605,0.606,2.175,1.883,0.292,0.294,0.292,0.294,0.296,0.293,2.371,2.376
2.464,2.519,2.478,2.225,2.225,2.209,2.47,2.519,3.012,1.278,1.264,1.105,1.256,1.257,1.258,1.043,1.112,1.251,2.478,0.607,0.606,0.604,0.601,0.601,0.537,0.6,2.178,2.171,0.23,0.295,0.293,0.229,0.296,0.293,2.48,2.486
2.399,2.516,2.518,2.512,2.511,2.513,2.331,2.518,3.187,1.267,1.264,1.257,1.256,1.179,1.258,1.263,1.268,1.117,2.254,0.609,0.605,0.469,0.601,0.603,0.605,0.471,2.175,2.175,0.292,0.295,0.292,0.295,0.296,0.293,2.479,2.485
2.425,2.517,2.232,2.003,2.152,2.513,2.522,2.517,3.296,1.279,1.265,1.099,1.256,1.256,1.096,1.263,1.268,1.267,2.114,0.607,0.606,0.604,0.601,0.571,0.604,0.607,1.903,1.948,0.232,0.295,0.293,0.294,0.296,0.293,1.946,2.462
2.481,2.519,2.518,2.33,2.509,2.512,2.345,2.518,3.202,1.279,1.265,0.997,1.255,1.16,1.259,1.211,1.019,1.271,2.193,0.609,0.605,0.602,0.601,0.603,0.605,0.605,2.025,2.176,0.292,0.293,0.292,0.294,0.295,0.293,2.48,2.485
2.375,2.498,2.212,2.511,2.425,2.513,2.205,2.517,3.066,1.279,1.265,1.257,1.255,1.256,1.258,1.08,1.268,1.273,2.119,0.607,0.606,0.604,0.6,0.601,0.522,0.607,2.174,2.179,0.289,0.294,0.293,0.295,0.23,0.293,2.223,2.2
2.197,2.518,2.518,2.395,2.281,2.388,2.522,2.518,3.296,1.261,1.053,1.006,1.255,1.256,1.259,1.263,1.267,1.272,2.48,0.609,0.605,0.604,0.602,0.603,0.606,0.577,1.994,2.179,0.292,0.293,0.293,0.294,0.296,0.293,2.478,2.485
2.482,2.477,2.518,2.512,2.51,2.514,2.522,2.519,2.785,1.28,1.264,1.153,1.255,1.256,1.259,1.263,1.088,1.272,2.428,0.583,0.606,0.47,0.6,0.601,0.605,0.607,2.123,2.179,0.292,0.294,0.293,0.229,0.296,0.228,2.477,2.485
2.101,2.231,2.517,2.51,2.509,2.515,2.078,2.518,3.209,1.28,1.265,1.257,0.989,1.146,1.259,1.263,1.019,1.134,2.48,0.609,0.586,0.604,0.601,0.603,0.607,0.605,1.974,1.841,0.292,0.247,0.293,0.229,0.295,0.293,2.478,2.032
2.483,2.232,2.232,2.511,2.224,2.511,2.522,1.973,2.78,1.28,1.265,1.257,1.255,1.256,1.145,1.264,1.267,1.273,2.242,0.607,0.606,0.604,0.6,0.601,0.518,0.606,1.826,2.179,0.292,0.296,0.293,0.294,0.295,0.228,2.48,2.485
2.198,2.516,2.111,2.339,1.981,2.39,2.379,2.517,2.915,1.28,1.265,1.258,1.255,1.255,1.009,1.235,1.267,1.125,2.318,0.609,0.605,0.604,0.601,0.603,0.606,0.605,2.179,2.18,0.292,0.23,0.293,0.295,0.296,0.293,2.194,2.317
2.171,2.23,2.517,2.471,2.509,2.228,2.247,2.495,3.297,1.172,1.206,1.175,1.115,1.258,1.083,1.09,1.267,1.273,2.181,0.609,0.606,0.598,0.6,0.601,0.605,0.605,1.893,1.984,0.292,0.296,0.292,0.292,0.296,0.293,2.478,2.485
2.313,2.426,2.125,2.51,2.51,2.077,2.521,2.131,2.726,1.28,1.263,1.257,1.256,1.173,1.258,1.234,1.269,1.272,2.361,0.607,0.606,0.604,0.601,0.603,0.606,0.605,2.177,1.836,0.227,0.23,0.293,0.229,0.295,0.293,2.049,2.304
