2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg
2.48,2.511,2.518,2.512,2.023,2.513,2.274,2.077,2.728,1.279,1.265,1.258,1.256,1.255,1.19,1.264,1.267,1.196,2.101,0.607,0.606,0.604,0.602,0.601,0.605,0.605,2.071,2.18,0.292,0.294,0.293,0.229,0.296,0.266,2.481,2.485
2.481,2.513,2.236,2.51,2.225,2.512,2.521,2.52,3.292,1.131,1.121,1.258,1.256,1.255,1.259,1.263,1.267,1.271,2.48,0.609,0.569,0.558,0.502,0.602,0.605,0.607,2.177,1.829,0.292,0.295,0.292,0.294,0.23,0.293,2.484,2.401
2.48,2.509,2.517,2.512,2.51,2.227,2.294,2.38,2.752,1.28,1.264,1.258,1.256,1.255,1.181,1.263,1.217,1.272,2.481,0.607,0.606,0.604,0.601,0.601,0.605,0.605,1.792,2.178,0.292,0.295,0.293,0.294,0.296,0.259,2.345,2.251
2.196,2.512,2.518,2.376,2.51,2.389,2.521,2.522,3.191,1.279,1.127,1.252,1.256,1.256,1.258,1.263,1.267,1.273,2.451,0.609,0.605,0.602,0.6,0.602,0.605,0.605,2.175,2.12,0.292,0.295,0.293,0.294,0.232,0.293,2.484,2.201
2.195,2.511,2.517,2.512,2.51,2.237,2.52,2.521,3.296,1.267,1.265,1.121,1.256,1.256,1.258,1.073,1.267,1.213,2.388,0.607,0.606,0.604,0.601,0.537,0.604,0.538,2.173,1.897,0.29,0.293,0.293,0.294,0.295,0.292,2.348,2.487
2.479,2.395,2.518,2.225,2.139,2.513,2.52,2.516,2.91,1.279,1.263,1.258,1.255,1.256,1.258,1.264,1.267,1.271,2.246,0.609,0.606,0.602,0.6,0.602,0.605,0.605,2.175,2.177,0.292,0.294,0.293,0.294,0.294,0.293,2.484,2.08
2.194,2.511,2.374,2.234,1.999,2.513,2.05,2.517,3.01,1.279,1.263,1.258,1.256,1.255,1.259,1.264,1.268,1.271,2.103,0.609,0.499,0.604,0.601,0.601,0.604,0.605,1.776,1.971,0.29,0.251,0.293,0.294,0.296,0.292,2.348,2.488
2.164,2.356,2.232,2.511,2.509,2.514,2.235,1.982,3.294,1.165,1.263,1.258,1.041,1.255,1.258,1.221,1.268,1.271,2.48,0.609,0.605,0.602,0.6,0.603,0.605,0.606,1.922,2.113,0.292,0.294,0.293,0.294,0.257,0.293,2.203,2.486
2.264,2.51,2.391,2.225,2.278,2.514,2.521,2.134,3.296,1.279,1.263,1.184,1.256,1.013,1.258,1.263,1.225,1.222,2.194,0.609,0.603,0.604,0.602,0.546,0.604,0.605,2.176,1.963,0.29,0.295,0.292,0.294,0.296,0.292,2.482,2.487
2.194,2.226,1.964,2.51,2.225,2.129,2.522,2.516,3.221,1.279,1.079,1.062,1.256,1.256,1.057,1.264,1.085,1.269,1.978,0.607,0.606,0.565,0.601,0.603,0.605,0.472,1.923,2.174,0.292,0.295,0.293,0.293,0.294,0.228,2.483,2.201
2.17,2.512,2.517,2.512,2.509,2.228,2.071,2.426,3.294,1.251,1.263,1.015,1.256,1.256,1.258,1.264,1.229,1.268,2.478,0.609,0.603,0.604,0.6,0.602,0.604,0.573,2.059,2.175,0.29,0.295,0.292,0.294,0.296,0.242,2.48,2.487
2.48,2.026,2.516,2.51,2.509,2.435,2.521,2.007,2.722,1.107,1.265,1.092,1.255,1.256,1.259,1.264,1.267,1.159,2.263,0.607,0.605,0.602,0.601,0.604,0.605,0.606,1.914,2.174,0.227,0.294,0.293,0.293,0.294,0.293,2.196,2.325
2.479,2.296,2.126,2.512,2.509,2.513,2.365,2.518,3.009,1.279,1.264,1.258,1.202,1.028,1.258,1.264,1.234,1.268,2.126,0.609,0.604,0.604,0.579,0.544,0.604,0.605,2.179,1.928,0.272,0.294,0.292,0.294,0.296,0.292,2.481,2.2
