1m_0deg
0.61
0.57
0.61
0.61
0.61
0.61
0.57
0.56
0.57
0.61
0.58
0.62
0.62
0.62
0.62
0.62
0.57
0.62
0.61
0.6
0.51
0.6
0.6
0.61
0.6
0.56
0.61
0.56
0.6
0.55
0.6
0.6
0.55
0.6
0.6
0.6
0.56
0.62
0.62
0.61
0.62
0.61
0.61
0.56
0.56
0.56
0.61
0.61
0.61
0.61
0.61
0.57
0.61
0.51
0.61
0.61
0.57
0.62
0.62
0.53
0.58
0.62
0.62
0.58
0.57
0.58
0.62
0.62
0.62
0.57
0.62
0.62
0.62
0.58
0.57
0.57
0.62
0.57
0.61
0.56
0.61
0.61
0.61
0.56
0.61
0.61
0.61
0.56
0.61
0.6
0.6
0.56
0.6
0.6
0.6
0.56
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.56
0.6
0.6
0.6
0.6
0.6
0.56
0.56
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.6
0.56
0.6
0.61
0.61
0.61
0.56
0.61
0.61
0.56
0.61
0.61
0.61
0.58
0.62
0.62
0.67
0.62
0.62
0.62
0.62
0.57
0.61
0.61
0.61
0.57
0.56
0.56
0.62
0.61
0.56
0.57
0.62
0.57
0.61
0.61
0.62
0.57
0.61
0.62
0.62
0.62
0.66
0.62
0.6
0.64
0.64
0.57
0.63
0.62
0.62
0.62
0.62
0.62
0.52
0.57
0.62
0.62
0.57
0.62
0.57
0.62
0.57
0.62
0.62
0.62
0.62
0.57
0.62
0.57
0.62
0.59
0.63
0.62
0.62
0.57
0.63
0.63
0.62
0.57
0.63
0.57
0.63
0.57
0.57
0.63
0.63
0.62
0.59
0.62
0.63
0.63
0.64
0.62
0.63
0.58
0.54
0.63
0.67
0.63
0.62
0.57
0.57
0.57
0.62
0.62
0.57
0.62
0.62
0.62
0.58
0.62
0.62
0.62
0.62
0.67
0.67
0.65
0.59
0.63
0.63
0.63
0.61
0.64
0.65
0.61
0.62
0.62
0.61
0.63
0.63
0.62
0.62
0.62
0.62
0.61
0.57
0.61
0.61
0.61
0.61
0.56
0.61
0.61
0.51
0.56
0.6
0.6
0.56
0.61
0.6
0.61
0.61
0.61
0.62
0.62
0.56
0.62
0.61
0.62
0.62
0.62
0.62
0.58
0.62
0.62
0.62
0.56
0.56
0.56
0.61
0.61
0.61
0.61
0.56
0.61
0.51
0.61
0.57
0.61
0.57
0.63
0.69
0.69
0.65
0.61
0.53
0.68
0.53
0.63
0.59
0.54
0.58
0.67
0.62
0.65
0.57
0.65
0.67
0.64
0.6
0.63
0.66
0.63
0.64
0.65
0.66
0.61
0.65
0.63
0.63
0.59
0.59
0.62
0.62
0.63
0.53
0.59
0.62
0.62
0.62
0.63
0.62
0.67
0.65
0.62
0.62
0.62
0.62
0.62
0.58
0.61
0.61
0.62
0.57
0.57
0.61
0.61
0.57
0.61
0.62
0.61
0.57
0.61
0.61
0.61
0.61
0.56
0.61
0.61
0.61
0.57
0.61
0.61
0.61
0.56
0.57
0.57
0.56
0.61
0.61
0.57
0.61
0.57
0.61
0.61
0.57
0.61
0.61
0.57
0.61
0.61
