0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
0.988,3.298,0.297,0.248,0.298,0.298,0.298,0.298,1.305,2.482,0.592,0.592,0.556,0.59,0.59,0.594,0.595,3.293,2.971,1.263,1.253,1.035,1.247,1.248,1.255,1.262,2.484,2.342,2.355,2.495,2.375,2.497,2.485,2.489,2.912,3.22
0.988,2.909,0.297,0.299,0.253,0.301,0.277,0.298,1.126,2.197,0.594,0.594,0.592,0.588,0.59,0.592,0.595,3.292,3.294,0.984,1.251,1.248,1.247,1.249,1.131,0.989,2.483,2.482,2.486,2.396,1.96,2.498,2.498,2.112,2.767,2.796
0.801,3.011,0.297,0.266,0.298,0.3,0.298,0.298,1.305,1.996,0.549,0.543,0.59,0.59,0.589,0.594,0.485,2.833,3.293,1.263,1.126,1.086,1.033,1.238,0.999,1.262,2.482,2.197,2.485,1.972,2.501,2.329,1.945,1.985,2.903,3.298
0.799,2.945,0.297,0.299,0.232,0.299,0.251,0.298,1.305,2.198,0.594,0.594,0.592,0.589,0.59,0.592,0.595,3.006,3.293,1.008,1.252,1.249,1.183,1.248,1.256,1.253,2.393,2.481,2.482,2.508,2.502,2.497,2.212,2.422,2.76,2.813
0.998,3.011,0.295,0.298,0.298,0.299,0.298,0.298,1.304,2.198,0.593,0.562,0.59,0.59,0.589,0.594,0.594,2.861,2.735,1.162,1.253,1.248,1.049,0.975,1.256,1.261,2.23,2.482,2.087,2.51,2.216,2.348,2.497,2.5,3.015,3.248
1.023,2.976,0.297,0.299,0.298,0.243,0.297,0.297,1.304,2.483,0.465,0.594,0.591,0.584,0.59,0.594,0.595,3.294,3.292,1.263,1.252,1.199,1.196,1.248,1.256,1.261,2.484,2.482,2.242,2.42,2.502,2.216,2.211,2.501,3.302,3.114
0.911,2.847,0.297,0.299,0.298,0.299,0.297,0.297,1.303,2.483,0.594,0.593,0.592,0.59,0.54,0.592,0.547,3.131,2.769,1.188,1.161,1.248,1.246,0.995,1.192,1.261,2.203,2.159,2.485,2.51,2.501,2.212,2.498,2.504,2.889,3.299
1.07,3.294,0.296,0.299,0.298,0.259,0.297,0.297,1.303,2.483,0.593,0.594,0.592,0.59,0.459,0.594,0.595,3.009,2.721,1.063,1.192,1.055,1.215,1.248,1.038,1.261,2.483,2.482,2.486,2.51,2.504,2.498,2.198,2.217,3.301,3.13
1.07,3.009,0.296,0.299,0.296,0.299,0.297,0.297,1.304,2.341,0.593,0.594,0.591,0.589,0.566,0.513,0.594,2.723,3.295,1.217,1.252,1.248,1.246,1.249,1.255,1.262,2.484,2.481,2.422,2.511,4.353,2.389,2.368,2.379,3.182,3.284
1.07,3.296,0.295,0.299,0.298,0.298,0.297,0.245,1.305,2.209,0.534,0.592,0.59,0.59,0.59,0.594,0.594,3.295,3.235,1.263,1.251,1.098,0.973,1.174,1.224,1.096,2.116,2.362,2.294,2.51,4.796,1.972,2.501,2.26,2.753,3.014
