2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg
2.602,2.6,2.592,2.417,2.338,2.588,2.595,2.305,2.44,1.346,1.103,1.342,1.335,1.335,1.157,1.092,1.071,1.358,0.685,0.685,0.658,0.676,0.675,0.677,0.68,0.638,0.685,1.39,0.358,0.29,0.353,0.355,0.355,0.362,0.377,1.017
2.602,2.552,2.593,2.304,2.301,2.061,2.42,2.59,2.006,1.346,1.343,1.342,1.299,1.088,1.283,1.341,1.215,1.358,0.684,0.55,0.683,0.676,0.673,0.676,0.625,0.683,0.687,1.388,0.358,0.361,0.354,0.277,0.357,0.355,0.376,1.019
2.602,2.383,2.593,2.59,2.587,2.481,2.593,2.59,2.252,1.33,1.343,1.341,1.335,1.146,1.126,1.105,1.348,1.357,0.685,0.687,0.682,0.677,0.675,0.677,0.68,0.682,0.685,1.39,0.357,0.359,0.353,0.285,0.278,0.362,0.376,0.905
2.347,2.598,2.531,2.284,2.586,2.327,2.309,2.59,2.538,1.195,1.254,1.342,1.335,1.335,1.337,1.13,1.348,1.078,0.679,0.646,0.532,0.676,0.673,0.676,0.559,0.683,0.687,1.39,0.358,0.279,0.275,0.356,0.357,0.362,0.374,0.791
2.604,2.581,2.415,2.59,2.301,2.588,2.594,2.59,2.144,1.346,1.342,1.256,1.335,1.335,1.337,1.341,1.075,1.232,0.557,0.687,0.681,0.677,0.674,0.677,0.68,0.639,0.684,1.39,0.357,0.359,0.354,0.354,0.357,0.362,0.376,1.017
2.603,2.6,2.31,2.532,2.587,2.588,2.595,2.368,2.252,1.344,1.343,1.341,1.335,1.118,1.218,1.341,1.347,1.103,0.685,0.685,0.541,0.676,0.607,0.676,0.679,0.531,0.687,1.39,0.358,0.359,0.354,0.356,0.357,0.362,0.376,1.017
2.603,2.6,2.429,2.589,2.586,2.434,2.595,2.214,2.428,1.345,1.343,1.342,1.335,1.121,1.337,1.121,1.346,1.356,0.683,0.687,0.53,0.677,0.674,0.677,0.54,0.682,0.602,1.391,0.358,0.359,0.354,0.354,0.278,0.314,0.374,1.017
2.319,2.314,2.594,2.302,2.585,2.588,2.125,2.59,1.997,1.345,1.343,1.342,1.286,1.335,1.131,1.341,1.347,1.356,0.685,0.684,0.68,0.676,0.673,0.676,0.68,0.683,0.687,1.391,0.278,0.359,0.353,0.355,0.357,0.362,0.375,0.904
2.606,2.223,2.308,2.344,2.585,2.303,2.595,2.589,2.372,1.276,1.343,1.341,1.335,1.335,1.117,1.341,1.067,1.356,0.651,0.686,0.681,0.677,0.674,0.677,0.679,0.682,0.684,1.261,0.358,0.361,0.354,0.355,0.357,0.36,0.372,1.015
2.606,2.6,2.594,2.183,2.578,2.588,2.307,2.314,2.539,1.345,1.255,1.272,1.285,1.289,1.337,1.341,1.205,1.356,0.683,0.607,0.565,0.676,0.673,0.671,0.68,0.683,0.687,1.391,0.356,0.359,0.353,0.355,0.357,0.362,0.373,0.841
2.599,2.45,2.594,2.589,2.586,2.378,2.594,2.59,2.539,1.345,1.343,1.125,1.335,1.334,1.337,1.342,1.346,1.309,0.684,0.685,0.682,0.677,0.675,0.539,0.679,0.665,0.685,1.392,0.358,0.36,0.354,0.356,0.357,0.362,0.372,0.844
2.606,2.316,2.594,2.429,2.3,2.224,2.074,2.279,2.54,1.096,1.343,1.342,1.335,1.068,1.081,1.109,1.347,1.175,0.682,0.684,0.682,0.675,0.659,0.677,0.68,0.683,0.687,1.138,0.358,0.359,0.354,0.355,0.357,0.362,0.372,1.011
2.32,2.407,2.588,2.303,2.585,2.361,2.213,2.59,2.157,1.172,1.343,1.342,1.24,1.335,1.337,1.341,1.346,1.089,0.533,0.685,0.683,0.677,0.525,0.562,0.679,0.532,0.685,1.393,0.358,0.359,0.354,0.277,0.357,0.362,0.372,1.007
2.606,2.599,2.309,2.112,2.528,2.303,2.594,2.252,2.016,1.342,1.343,1.342,1.268,1.316,1.319,1.342,1.186,1.356,0.573,0.651,0.682,0.675,0.674,0.677,0.68,0.682,0.687,1.393,0.358,0.359,0.354,0.287,0.277,0.362,0.289,1.01
2.217,2.355,2.353,2.237,2.586,2.303,2.594,2.589,2.448,1.345,1.118,1.12,1.116,1.335,1.187,1.341,1.347,1.339,0.685,0.685,0.683,0.677,0.544,0.676,0.679,0.683,0.685,1.393,0.356,0.358,0.354,0.355,0.357,0.362,0.372,0.941
2.606,2.6,2.526,2.303,2.516,2.184,2.327,2.383,2.539,1.345,1.263,1.341,1.335,1.051,1.337,1.342,1.171,1.21,0.685,0.684,0.681,0.66,0.675,0.677,0.68,0.562,0.685,1.393,0.358,0.359,0.355,0.307,0.355,0.36,0.372,1.009
2.321,2.601,2.595,2.588,2.587,2.315,2.178,2.346,2.357,1.345,1.123,1.341,1.335,1.202,1.164,1.342,1.31,1.356,0.683,0.671,0.683,0.529,0.673,0.675,0.679,0.531,0.534,1.393,0.356,0.358,0.356,0.354,0.357,0.281,0.372,1.011
2.547,2.137,2.594,2.56,2.494,2.302,2.308,2.588,2.537,1.345,1.343,1.342,1.335,1.064,1.337,1.342,1.347,1.357,0.685,0.686,0.628,0.677,0.675,0.677,0.68,0.682,0.685,1.393,0.358,0.359,0.355,0.326,0.286,0.296,0.371,1.011
2.32,2.372,2.595,2.451,2.586,2.581,2.594,2.316,2.538,1.345,1.343,1.342,1.335,1.161,1.337,1.237,1.347,1.118,0.623,0.684,0.683,0.551,0.672,0.676,0.679,0.683,0.687,1.393,0.358,0.359,0.355,0.354,0.357,0.362,0.372,1.012
2.321,2.081,2.594,2.292,2.585,2.587,2.289,2.305,2.51,1.345,1.343,1.342,1.334,1.335,1.337,1.342,1.347,1.357,0.685,0.685,0.682,0.677,0.524,0.527,0.68,0.681,0.685,1.393,0.295,0.359,0.354,0.354,0.355,0.362,0.371,1.012
2.301,2.6,2.594,2.59,2.585,2.302,2.593,2.563,2.539,1.108,1.343,1.115,1.335,1.335,1.337,1.138,1.298,1.154,0.665,0.684,0.683,0.676,0.672,0.632,0.678,0.683,0.687,1.304,0.358,0.359,0.355,0.354,0.357,0.362,0.372,1.012
2.604,2.6,2.219,2.589,2.586,2.302,2.309,2.304,2.539,1.244,1.343,1.342,1.335,1.088,1.127,1.342,1.24,1.357,0.544,0.687,0.682,0.677,0.673,0.526,0.663,0.62,0.607,1.17,0.356,0.358,0.307,0.354,0.355,0.362,0.371,0.986
2.604,2.417,2.344,2.589,2.565,2.588,2.594,2.59,2.138,1.093,1.135,1.342,1.335,1.24,1.337,1.131,1.347,1.231,0.686,0.685,0.683,0.676,0.672,0.565,0.529,0.683,0.687,1.318,0.358,0.359,0.355,0.354,0.357,0.36,0.372,0.934
2.603,2.245,2.594,2.216,2.449,2.127,2.256,2.304,2.253,1.171,1.343,1.342,1.301,1.103,1.337,1.268,1.347,1.335,0.685,0.685,0.672,0.677,0.674,0.676,0.679,0.681,0.685,1.295,0.358,0.279,0.275,0.354,0.355,0.362,0.371,1.014
2.603,2.075,2.022,2.057,2.302,2.589,2.594,2.589,2.422,1.346,1.343,1.102,1.335,1.334,1.337,1.122,1.347,1.358,0.686,0.685,0.682,0.676,0.672,0.675,0.68,0.683,0.687,1.393,0.358,0.359,0.354,0.301,0.357,0.361,0.372,1.013
2.31,2.599,2.308,2.303,2.587,2.116,2.522,2.304,2.539,1.346,1.343,1.342,1.313,1.119,1.202,1.342,1.347,1.356,0.627,0.686,0.683,0.677,0.674,0.676,0.679,0.682,0.632,1.393,0.358,0.359,0.354,0.354,0.355,0.362,0.372,1.013
2.605,2.313,2.593,2.019,2.326,2.542,2.593,2.476,2.418,1.346,1.343,1.341,1.198,1.334,1.336,1.342,1.347,1.358,0.686,0.58,0.682,0.676,0.551,0.652,0.68,0.683,0.687,1.347,0.356,0.358,0.354,0.353,0.358,0.362,0.29,0.985
2.319,2.479,2.594,2.135,2.587,2.587,2.593,2.588,1.988,1.347,1.282,1.342,1.335,1.235,1.337,1.248,1.347,1.357,0.685,0.687,0.683,0.677,0.674,0.676,0.679,0.682,0.685,1.392,0.358,0.279,0.354,0.354,0.357,0.362,0.373,1.011
2.605,2.261,2.308,2.59,2.301,2.587,2.307,2.187,2.254,1.317,1.343,1.342,1.334,1.335,1.337,1.341,1.347,1.24,0.685,0.685,0.682,0.676,0.548,0.675,0.68,0.683,0.687,1.392,0.357,0.305,0.353,0.354,0.358,0.362,0.374,1.011
2.606,2.378,2.543,2.59,2.586,2.587,2.593,2.304,1.982,1.162,1.343,1.253,1.334,1.334,1.153,1.341,1.347,1.357,0.685,0.687,0.683,0.677,0.674,0.674,0.679,0.682,0.685,1.236,0.358,0.359,0.354,0.275,0.356,0.362,0.373,1.01
2.604,2.315,2.595,2.404,2.587,2.587,2.568,2.465,2.54,1.294,1.343,1.342,1.335,1.335,1.292,1.108,1.347,1.254,0.58,0.685,0.682,0.654,0.672,0.674,0.681,0.681,0.684,1.105,0.358,0.279,0.353,0.354,0.358,0.362,0.302,1.011
