time,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_6,meas_7,meas_8,meas_9,meas_10,meas_11,meas_12,meas_13,meas_14,meas_15,meas_16,meas_17,meas_18,meas_19,meas_20,meas_21,meas_22,meas_23,meas_24,meas_25,meas_26,meas_27,meas_28,meas_29,meas_30,meas_31,meas_32,meas_33,meas_34,meas_35,meas_36,meas_37,meas_38,meas_39,meas_40,meas_41,meas_42,meas_43,meas_44,meas_45,meas_46,meas_47,meas_48,meas_49,meas_50,meas_51,meas_52,meas_53,meas_54,meas_55,meas_56,meas_57,meas_58,meas_59,meas_60,meas_61,meas_62,meas_63,stds_0,stds_1,stds_2,stds_3,stds_4,stds_5,stds_6,stds_7,stds_8,stds_9,stds_10,stds_11,stds_12,stds_13,stds_14,stds_15,stds_16,stds_17,stds_18,stds_19,stds_20,stds_21,stds_22,stds_23,stds_24,stds_25,stds_26,stds_27,stds_28,stds_29,stds_30,stds_31,stds_32,stds_33,stds_34,stds_35,stds_36,stds_37,stds_38,stds_39,stds_40,stds_41,stds_42,stds_43,stds_44,stds_45,stds_46,stds_47,stds_48,stds_49,stds_50,stds_51,stds_52,stds_53,stds_54,stds_55,stds_56,stds_57,stds_58,stds_59,stds_60,stds_61,stds_62,stds_63
1702374040.1040547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457.0,1149.0,1159.0,1199.0,1198.0,1231.0,1189.0,0.0,0.0,936.0,911.0,976.0,971.0,961.0,929.0,962.0,936.0,743.0,745.0,766.0,747.0,752.0,793.0,781.0,756.0,732.0,739.0,743.0,728.0,741.0,749.0,746.0,742.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,23.0,15.0,19.0,21.0,28.0,30.0,20.0,65535.0,65535.0,13.0,12.0,13.0,23.0,17.0,25.0,20.0,14.0,7.0,8.0,8.0,10.0,8.0,9.0,6.0,7.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0
1702374040.312025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.0,1209.0,1192.0,1212.0,1188.0,0.0,0.0,0.0,944.0,927.0,936.0,924.0,945.0,971.0,965.0,1024.0,737.0,750.0,759.0,752.0,767.0,791.0,770.0,780.0,738.0,728.0,730.0,720.0,743.0,747.0,761.0,773.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,26.0,26.0,25.0,17.0,28.0,65535.0,65535.0,65535.0,12.0,11.0,13.0,28.0,14.0,19.0,21.0,19.0,6.0,7.0,9.0,9.0,8.0,8.0,8.0,6.0,5.0,5.0,4.0,6.0,6.0,5.0,4.0,7.0
1702374040.5199897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.0,0.0,1157.0,1107.0,1217.0,1170.0,1155.0,0.0,1226.0,953.0,945.0,928.0,944.0,908.0,978.0,945.0,966.0,734.0,749.0,772.0,759.0,777.0,776.0,778.0,759.0,745.0,731.0,750.0,722.0,738.0,738.0,758.0,757.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,18.0,65535.0,22.0,25.0,23.0,28.0,29.0,65535.0,26.0,14.0,15.0,14.0,18.0,13.0,18.0,19.0,13.0,7.0,7.0,10.0,10.0,8.0,7.0,7.0,11.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0
1702374040.7279692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.0,1225.0,1215.0,1222.0,1177.0,0.0,0.0,0.0,925.0,960.0,955.0,950.0,947.0,920.0,995.0,724.0,756.0,758.0,768.0,745.0,767.0,748.0,759.0,731.0,730.0,738.0,730.0,732.0,750.0,756.0,747.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,22.0,36.0,30.0,25.0,24.0,65535.0,65535.0,65535.0,11.0,14.0,18.0,17.0,21.0,21.0,15.0,6.0,7.0,7.0,10.0,8.0,7.0,6.0,8.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,7.0
1702374040.9359472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,1197.0,1157.0,1121.0,0.0,1226.0,0.0,0.0,941.0,901.0,938.0,957.0,0.0,948.0,875.0,969.0,745.0,749.0,774.0,755.0,775.0,750.0,786.0,761.0,746.0,735.0,728.0,741.0,735.0,749.0,757.0,753.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,25.0,22.0,23.0,31.0,65535.0,26.0,65535.0,65535.0,13.0,13.0,15.0,20.0,65535.0,23.0,27.0,13.0,8.0,7.0,8.0,12.0,8.0,9.0,9.0,7.0,5.0,6.0,6.0,8.0,6.0,5.0,5.0,8.0
